Channel,Vehicle,age_min,age_max,gender,concat,a,b,c
Youtube,Trueview_Discovery,40,44,F,YoutubeTrueview_DiscoveryF4044,-3.824383766,0.561936842,0.94
Youtube,Trueview_Discovery,45,49,F,YoutubeTrueview_DiscoveryF4549,-4.053323907,0.526008765,0.92
Youtube,Trueview_Discovery,55,59,F,YoutubeTrueview_DiscoveryF5559,-4.089695264,0.508745902,0.895
Youtube,Trueview_Discovery,65,69,F,YoutubeTrueview_DiscoveryF6569,-4.115913046,0.496249186,0.695
Youtube,Trueview_Instream,7,12,M,YoutubeTrueview_InstreamM712,-3.896957588,0.687511625,0.82
Youtube,Trueview_Instream,13,18,M,YoutubeTrueview_InstreamM1318,-3.896957588,0.687511625,0.82
Youtube,Trueview_Instream,19,24,M,YoutubeTrueview_InstreamM1924,-3.896957588,0.687511625,0.82
Youtube,Trueview_Instream,25,29,M,YoutubeTrueview_InstreamM2529,-4.924459817,0.886532109,0.91
Youtube,Trueview_Instream,30,34,M,YoutubeTrueview_InstreamM3034,-4.924459817,0.886532109,0.91
Youtube,Trueview_Instream,35,39,M,YoutubeTrueview_InstreamM3539,-5.033539083,0.918741832,0.91
Youtube,Trueview_Instream,40,44,M,YoutubeTrueview_InstreamM4044,-5.033539083,0.918741832,0.91
Youtube,Trueview_Instream,45,49,M,YoutubeTrueview_InstreamM4549,-4.203526628,0.724317062,0.89
Youtube,Trueview_Instream,55,59,M,YoutubeTrueview_InstreamM5559,-4.262806405,0.723228475,0.87
Youtube,Trueview_Instream,65,69,M,YoutubeTrueview_InstreamM6569,-4.3730062,0.753642342,0.705
Youtube,Trueview_Instream,7,12,F,YoutubeTrueview_InstreamF712,-4.435650328,0.798068371,0.85
Youtube,Trueview_Instream,13,18,F,YoutubeTrueview_InstreamF1318,-4.435650328,0.798068371,0.85
Youtube,Trueview_Instream,19,24,F,YoutubeTrueview_InstreamF1924,-4.435650328,0.798068371,0.85
